118, 140, 105
230, 140, 185
110, 102, 93
93, 126, 214
74, 102, 197
114, 174, 195
103, 166, 197
164, 92, 63
122, 147, 170
250, 148, 0
186, 36, 16
94, 130, 196
121, 64, 42
114, 62, 71
220, 129, 78
184, 95, 145
83, 95, 45
120, 165, 105
229, 156, 27
81, 157, 60
142, 88, 151
134, 133, 68
91, 166, 136
255, 232, 78
73, 147, 112
206, 142, 0
145, 165, 67
121, 124, 127
219, 221, 107
76, 105, 196
206, 94, 201
255, 120, 0
137, 140, 148
206, 81, 85
75, 141, 156
47, 56, 139
190, 73, 188
58, 89, 150
127, 73, 159
198, 147, 107
210, 186, 201
156, 69, 158
217, 182, 186
120, 101, 194
202, 136, 163
184, 124, 75
202, 83, 116
88, 136, 200
121, 101, 82
255, 222, 25
168, 140, 130
174, 177, 189
211, 73, 68
172, 171, 174
239, 180, 34
138, 188, 47
154, 154, 157
150, 96, 71
87, 154, 172
237, 88, 44
67, 67, 82
41, 66, 51
142, 191, 0
111, 101, 157
