70, 79, 174
83, 110, 189
67, 85, 151
100, 103, 182
64, 62, 63
139, 71, 154
180, 101, 159
78, 114, 96
144, 188, 206
132, 160, 208
175, 173, 161
141, 135, 147
195, 105, 169
206, 101, 132
72, 114, 68
139, 157, 95
154, 186, 227
139, 159, 176
191, 182, 203
203, 168, 198
171, 77, 91
136, 150, 53
164, 184, 61
123, 171, 191
187, 204, 220
217, 185, 196
214, 170, 195
198, 65, 58
166, 164, 43
187, 194, 56
150, 190, 189
169, 198, 180
217, 192, 196
208, 157, 166
205, 90, 46
142, 179, 66
232, 212, 63
232, 206, 57
204, 185, 168
218, 173, 154
205, 142, 125
202, 88, 36
114, 169, 86
226, 169, 73
224, 166, 58
208, 133, 44
195, 120, 47
163, 93, 40
169, 86, 52
100, 64, 42
