138, 91, 197
147, 98, 213
173, 93, 178
198, 106, 191
177, 56, 149
182, 61, 154
153, 73, 98
208, 72, 112
212, 101, 134
224, 130, 190
226, 167, 187
234, 188, 190
239, 185, 173
209, 90, 96
187, 56, 64
160, 41, 63
155, 34, 49
222, 41, 58
210, 44, 2
226, 91, 62
232, 69, 0
231, 111, 1
190, 107, 27
235, 146, 0
243, 178, 52
244, 188, 33
237, 194, 1
244, 213, 0
243, 225, 1
213, 177, 1
150, 146, 39
125, 153, 53
99, 132, 61
140, 194, 44
139, 202, 72
98, 165, 50
93, 147, 51
82, 136, 61
55, 128, 75
48, 116, 75
48, 96, 54
53, 72, 66
68, 94, 95
55, 78, 84
125, 192, 112
170, 201, 167
122, 167, 126
90, 162, 125
97, 171, 138
103, 173, 149
120, 170, 159
125, 198, 179
128, 189, 190
128, 196, 205
114, 178, 203
105, 169, 197
146, 203, 230
47, 71, 107
66, 103, 155
90, 125, 163
53, 120, 211
72, 109, 242
73, 92, 212
58, 95, 186
78, 110, 209
80, 104, 212
44, 70, 155
42, 67, 157
56, 69, 173
78, 69, 222
90, 86, 233
95, 110, 205
84, 62, 205
89, 58, 198
122, 114, 189
114, 129, 150
101, 43, 39
95, 68, 49
105, 74, 53
84, 69, 66
71, 56, 53
61, 55, 55
66, 62, 61
195, 171, 127
189, 129, 93
183, 112, 80
93, 85, 64
96, 98, 93
99, 124, 121
154, 184, 186
145, 176, 179
174, 187, 195
178, 183, 189
168, 169, 173
164, 165, 169
114, 118, 121
92, 99, 109
87, 93, 109
71, 69, 80
60, 62, 74
